publicid,eventtype,origintime,modificationtime,longitude, latitude, magnitude, depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2019p821828,earthquake,2019-11-01T01:50:09.711Z,2019-11-01T01:53:12.909Z,175.6565552,-38.49735641,2.05349188,133.0547638,M,,LOCSAT,preliminary,manual,iasp91,18,14,5,0.9111925364,267.8398895,0.5962984355,0
2019p821442,earthquake,2019-10-31T22:24:31.233Z,2019-10-31T22:33:04.833Z,176.0260773,-38.02957916,2.425632087,91.76499176,M,,LOCSAT,confirmed,manual,iasp91,16,14,3,0.8855425119,268.7684631,0.7150441891,0
2019p821279,earthquake,2019-10-31T20:57:47.569Z,2019-10-31T21:14:02.923Z,175.4604187,-39.58736801,1.46731172,48.52392197,M,,LOCSAT,confirmed,manual,iasp91,28,21,8,0.2026416957,104.5165558,0.3058420928,0
2019p821163,earthquake,2019-10-31T19:56:06.332Z,2019-10-31T20:29:40.328Z,175.3715515,-38.64457321,2.896981749,209.3896179,M,,LOCSAT,confirmed,manual,iasp91,42,37,27,0.4251609445,80.57255936,0.4102530095,0
2019p820575,earthquake,2019-10-31T14:42:31.081Z,2019-10-31T14:45:29.913Z,177.2763519,-37.33665848,2.205675602,98.47618103,M,,LOCSAT,confirmed,manual,iasp91,16,10,6,0.5807074308,266.4528198,0.4639845853,0
2019p820281,earthquake,2019-10-31T12:05:58.307Z,2019-10-31T12:09:15.764Z,175.6573181,-39.5100174,1.322573289,14.04380608,M,,LOCSAT,confirmed,manual,iasp91,16,11,4,0.1269044131,87.60966492,0.2321148737,0
2019p819875,earthquake,2019-10-31T08:29:58.552Z,2019-10-31T08:36:10.609Z,175.3423767,-39.13518906,1.193540653,11.82197094,M,,LOCSAT,confirmed,manual,iasp91,18,14,8,0.09804477543,124.4810715,0.2703323703,0
2019p819766,earthquake,2019-10-31T07:31:21.219Z,2019-10-31T07:40:23.476Z,176.0840607,-39.03341675,1.645246501,75.37568665,M,,LOCSAT,confirmed,manual,iasp91,22,19,6,0.3080809116,153.6996002,0.3346363989,0
2019p819729,earthquake,2019-10-31T07:11:54.975Z,2019-10-31T07:21:01.007Z,175.328186,-39.12836075,1.32868683,11.96816254,M,,LOCSAT,confirmed,manual,iasp91,18,12,6,0.1026943475,222.1046829,0.1826399358,0
2019p818909,earthquake,2019-10-30T23:55:14.654Z,2019-10-31T00:42:24.964Z,176.3156128,-38.32326508,2.291774266,97.76482391,M,,LOCSAT,confirmed,manual,iasp91,44,32,22,0.05688934773,38.10895538,0.723450827,0
2019p818901,earthquake,2019-10-30T23:50:45.378Z,2019-10-31T00:28:58.388Z,176.9360504,-37.8454628,2.295727285,4.017564774,M,,LOCSAT,confirmed,manual,iasp91,18,16,13,0.03232691064,172.5763016,0.2602137238,0
2019p818815,earthquake,2019-10-30T23:04:55.446Z,2019-10-30T23:21:10.443Z,175.930603,-38.86336899,1.696364569,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,19,14,12,0.1237242669,79.60310555,0.440596004,0
2019p818672,earthquake,2019-10-30T21:48:56.474Z,2019-10-30T22:00:30.251Z,176.7520142,-37.78928375,2.301026162,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,21,18,12,0.09590248764,91.85027313,0.3606209944,0
2019p817965,earthquake,2019-10-30T15:32:10.867Z,2019-10-30T15:33:35.218Z,176.2090149,-38.54219055,1.969178075,4.495308876,M,,LOCSAT,confirmed,manual,iasp91,15,10,13,0.04295905307,179.0919418,0.2322071719,0
2019p817946,earthquake,2019-10-30T15:21:54.109Z,2019-10-30T15:23:32.898Z,176.2147827,-38.53382111,2.144970643,5.003174782,M,,LOCSAT,confirmed,manual,iasp91,19,14,12,0.04347144067,64.94343567,0.2839890691,0
2019p817872,earthquake,2019-10-30T14:42:41.679Z,2019-10-30T14:44:57.949Z,175.425293,-39.23507309,0.5219049832,7.84485817,M,,LOCSAT,confirmed,manual,iasp91,19,13,7,0.08175875992,134.8707561,0.2578074184,0
2019p817772,earthquake,2019-10-30T13:49:36.049Z,2019-10-30T13:52:13.006Z,176.2122955,-38.30062485,2.876672915,154.945282,M,,LOCSAT,confirmed,manual,iasp91,30,26,42,0.02777914517,68.03881836,0.4530436678,0
2019p817743,earthquake,2019-10-30T13:33:42.993Z,2019-10-30T13:37:15.836Z,176.2433319,-37.96166992,2.136535523,159.4638214,M,,LOCSAT,confirmed,manual,iasp91,27,16,7,0.6611349583,194.0870209,0.5973224722,0
2019p817675,earthquake,2019-10-30T12:57:39.225Z,2019-10-30T13:00:10.935Z,175.9312134,-38.87414551,1.525874841,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,23,16,12,0.1174676716,111.0900726,0.2858387413,0
2019p817317,earthquake,2019-10-30T09:46:48.661Z,2019-10-30T09:49:59.390Z,176.7852783,-37.16570663,2.263602874,207.4702911,M,,LOCSAT,confirmed,manual,iasp91,23,14,6,0.9884887934,282.0416565,0.4321449957,0
