publicid,eventtype,origintime,modificationtime,longitude, latitude, magnitude, depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2019p820477,earthquake,2019-10-31T13:50:30.056Z,2019-10-31T13:53:50.667Z,171.5980072,-43.22396088,2.044937774,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,21,13,4,0.3083489239,64.31021118,0.5243359245,0
2019p820218,earthquake,2019-10-31T11:32:30.557Z,2019-10-31T11:34:26.814Z,172.5823975,-43.27973938,2.200351142,4.302839279,M,,LOCSAT,confirmed,manual,iasp91,20,12,4,0.01123858336,80.38793945,0.5302414299,0
2019p818881,earthquake,2019-10-30T23:39:55.701Z,2019-10-31T00:05:44.882Z,172.634552,-43.40066147,3.092468378,19.41715431,M,,LOCSAT,confirmed,manual,iasp91,63,48,10,0.03223024309,92.52950668,0.4447863303,0
2019p817839,earthquake,2019-10-30T14:24:55.328Z,2019-10-30T14:27:44.294Z,173.5317535,-42.26253128,2.136822855,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,24,16,7,0.1534443498,117.5361576,0.3095006795,0
2019p816264,earthquake,2019-10-30T00:25:42.493Z,2019-10-30T00:32:00.262Z,172.8247528,-42.81093216,2.134938861,6.148630142,M,,LOCSAT,confirmed,manual,iasp91,15,10,7,0.0539894253,82.02314377,0.2315168231,0
2019p816037,earthquake,2019-10-29T22:24:38.857Z,2019-10-29T22:54:42.903Z,173.5511627,-42.14654541,2.118747886,5.234408379,M,,LOCSAT,confirmed,manual,iasp91,24,13,6,0.2262503356,101.4613075,0.3502132788,0
2019p815791,earthquake,2019-10-29T20:13:45.809Z,2019-10-29T20:19:15.873Z,173.5851898,-42.2520752,2.827884455,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,24,14,13,0.1673467755,112.5408707,0.4811231972,0
2019p815334,earthquake,2019-10-29T16:10:03.068Z,2019-10-29T16:11:40.021Z,171.9887695,-43.18374634,2.452400107,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,19,10,9,0.1466288567,87.00498962,0.4033228439,0
2019p812587,earthquake,2019-10-28T15:46:27.193Z,2019-10-28T15:52:26.715Z,171.7403259,-43.56415558,1.909368541,7.45020628,M,,LOCSAT,confirmed,manual,iasp91,26,22,7,0.05377082899,43.35075378,0.4336379868,0
2019p811046,earthquake,2019-10-28T02:05:38.301Z,2019-10-28T02:07:58.811Z,169.964798,-44.09619522,2.385841496,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,22,11,8,0.1852332503,77.98431396,0.7286637273,0
2019p810597,earthquake,2019-10-27T22:06:11.803Z,2019-10-27T22:09:08.407Z,172.3087158,-43.56417084,1.989275846,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,18,11,7,0.2039696127,91.51868439,0.3160328781,0
2019p809338,earthquake,2019-10-27T10:55:37.021Z,2019-10-27T10:59:15.552Z,173.1898804,-42.48974228,2.361534725,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,24,17,4,0.1641535163,88.84382629,0.40107234,0
2019p808290,earthquake,2019-10-27T01:37:01.391Z,2019-10-27T01:41:10.945Z,173.5512695,-42.14818192,2.372408922,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,24,18,7,0.2267524749,142.2740784,0.4064864188,0
2019p805592,earthquake,2019-10-26T01:39:32.497Z,2019-10-26T01:44:36.733Z,172.7293701,-42.68436813,2.286353493,7.552714348,M,,LOCSAT,confirmed,manual,iasp91,22,13,6,0.0549351573,100.9864397,0.2475083867,0
2019p802911,earthquake,2019-10-25T01:51:15.643Z,2019-10-25T01:55:45.285Z,170.6617584,-43.78753281,2.365000294,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,14,9,4,0.2933484614,82.5723114,0.394276855,0
2019p802631,earthquake,2019-10-24T23:21:52.748Z,2019-10-24T23:29:44.104Z,173.6176453,-42.16321564,2.092177699,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,19,12,5,0.1819150597,142.0784798,0.4753465777,0
2019p802087,earthquake,2019-10-24T18:31:59.786Z,2019-10-24T18:34:12.375Z,173.5945435,-42.20894241,2.059745124,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,29,16,6,0.2109699994,114.5225716,0.5472690098,0
2019p801834,earthquake,2019-10-24T16:17:24.769Z,2019-10-24T16:26:43.053Z,173.8738098,-42.22988892,1.911860303,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,20,13,6,0.2854726315,180.8329201,0.6551524808,0
2019p801794,earthquake,2019-10-24T15:56:15.187Z,2019-10-24T15:59:37.908Z,173.1387177,-42.22976685,2.134021791,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,18,14,7,0.1668841392,66.49952698,0.5010238268,0
2019p796061,earthquake,2019-10-22T13:01:19.895Z,2019-10-22T13:04:00.909Z,172.7459717,-43.46084213,2.254182752,3.836503744,M,,LOCSAT,confirmed,manual,iasp91,32,26,7,0.04012081772,115.8650169,0.305023949,0
2019p795496,earthquake,2019-10-22T08:00:40.388Z,2019-10-22T08:05:56.531Z,172.7339325,-42.66567612,2.580188771,7.109024048,M,,LOCSAT,confirmed,manual,iasp91,24,17,9,0.1065014824,64.79484558,0.2861891605,0
2019p791065,earthquake,2019-10-20T16:39:57.435Z,2019-10-20T16:42:23.593Z,169.8904877,-44.45186234,3.005989866,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,26,17,8,0.2208156735,69.75541687,0.4258670071,0
2019p790539,earthquake,2019-10-20T11:59:25.540Z,2019-10-20T12:02:05.300Z,173.5467834,-42.8972435,2.350262778,19.48785973,M,,LOCSAT,confirmed,manual,iasp91,23,12,6,0.2167639136,191.1301966,0.6875913599,0
