publicid,eventtype,origintime,modificationtime,longitude, latitude, magnitude, depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2019p820515,earthquake,2019-10-31T14:10:21.698Z,2019-10-31T14:13:38.261Z,166.7659912,-45.38430405,2.541331386,10.24423885,M,,LOCSAT,confirmed,manual,iasp91,10,6,3,0.2845221758,287.641983,0.5274921767,0
2019p819089,earthquake,2019-10-31T01:30:58.244Z,2019-10-31T01:44:51.472Z,166.7733612,-45.49464417,2.829130125,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,14,9,5,0.2691409588,219.7760353,0.6600323508,0.1132720743
2019p817319,earthquake,2019-10-30T09:47:42.298Z,2019-10-30T09:49:21.982Z,167.3880768,-45.43452454,2.439312715,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,17,13,4,0.1678385139,127.2602654,0.4981754991,0
2019p815147,earthquake,2019-10-29T14:30:51.601Z,2019-10-29T14:39:01.714Z,166.0673676,-46.22454453,4.274112517,12,M,operator assigned,LOCSAT,confirmed,manual,iasp91,22,17,15,0.4299992025,285.516861,0.9143987968,0
2019p814002,earthquake,2019-10-29T04:20:36.560Z,2019-10-29T04:25:10.271Z,166.0466156,-46.3521843,3.44547879,12,M,operator assigned,LOCSAT,confirmed,manual,iasp91,11,7,5,0.4776302874,290.9134407,0.2717518314,0
2019p813653,earthquake,2019-10-29T01:13:47.537Z,2019-10-29T01:22:31.687Z,166.0229034,-46.24477768,2.93460063,12,M,operator assigned,LOCSAT,confirmed,manual,iasp91,10,7,3,0.463532716,285.817009,0.6212432625,0
2019p813170,earthquake,2019-10-28T20:57:23.753Z,2019-10-28T21:09:47.248Z,165.9764404,-46.22465134,3.960497087,12,M,operator assigned,LOCSAT,confirmed,manual,iasp91,15,10,10,0.4926616848,287.8593369,0.7582497362,0
2019p812590,earthquake,2019-10-28T15:48:15.576Z,2019-10-28T15:52:44.774Z,167.4974518,-45.06132507,2.616906527,81.94710541,M,,LOCSAT,confirmed,manual,iasp91,26,18,3,0.3883422613,187.395092,0.6187551859,0
2019p812475,earthquake,2019-10-28T14:47:01.248Z,2019-10-28T14:56:46.682Z,167.0489044,-45.59632111,4.514049591,57.17320251,M,,LOCSAT,confirmed,manual,iasp91,35,27,34,0.1507746726,139.0856171,0.350950814,0
2019p807955,earthquake,2019-10-26T22:38:25.586Z,2019-10-26T22:41:54.430Z,167.4538422,-44.70605469,3.070143999,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,14,9,9,0.3386456668,221.3718452,0.5429176752,0
2019p804192,earthquake,2019-10-25T13:13:41.321Z,2019-10-25T13:19:28.747Z,167.5319214,-44.68289948,1.681944644,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,10,6,4,0.2815873027,249.7669945,0.2176360661,0
2019p803878,earthquake,2019-10-25T10:26:09.469Z,2019-10-25T10:36:49.121Z,168.190567,-44.39365005,2.590310978,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,12,8,7,0.3374877572,199.4163132,0.6011944213,0
2019p803839,earthquake,2019-10-25T10:05:40.621Z,2019-10-25T10:16:04.945Z,168.2425232,-44.43499756,2.544567952,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,13,8,6,0.3284377754,183.9823341,0.6242696592,0
2019p803053,earthquake,2019-10-25T03:07:06.245Z,2019-10-25T03:12:38.561Z,167.2033539,-45.10221863,3.182347386,52.88299942,M,,LOCSAT,confirmed,manual,iasp91,26,16,7,0.3642135561,209.4209862,0.4245159739,0
2019p803050,earthquake,2019-10-25T03:05:30.073Z,2019-10-25T03:15:41.610Z,167.4546814,-44.70047379,2.342464298,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,15,11,2,0.3375715017,208.5802612,0.4962751724,0
