publicid,TotalCount,mmi1,mmi2,mmi3,mmi4,mmi5,mmi6,mmi7,mmi8,mmi9
2019p744118,3,0,0,3,0,0,0,0,0,0
2019p701659,2,0,0,2,0,0,0,0,0,0
2019p686483,3,0,0,3,0,0,0,0,0,0
2019p668117,2,0,0,2,0,0,0,0,0,0
2019p658737,1,0,0,1,0,0,0,0,0,0
2019p649210,2,0,0,2,0,0,0,0,0,0
2019p637984,3,0,0,2,1,0,0,0,0,0
2019p596908,1,0,0,1,0,0,0,0,0,0
2019p821442,1,0,0,0,1,0,0,0,0,0
2019p821163,2,0,0,1,1,0,0,0,0,0
2019p820281,3,0,0,1,2,0,0,0,0,0
2019p819875,2,0,0,1,1,0,0,0,0,0
2019p819766,2,0,0,2,0,0,0,0,0,0
2019p819729,2,0,0,2,0,0,0,0,0,0
2019p818909,4,0,0,4,0,0,0,0,0,0
2019p818901,5,0,0,4,1,0,0,0,0,0
2019p818672,1,0,0,1,0,0,0,0,0,0
2019p817317,2,0,0,2,0,0,0,0,0,0
2019p816569,6,0,0,6,0,0,0,0,0,0
2019p816567,6,0,0,6,0,0,0,0,0,0
2019p816407,4,0,0,3,0,0,0,0,1,0
2019p816313,2,0,0,1,1,0,0,0,0,0
2019p816196,2,0,0,2,0,0,0,0,0,0
2019p816168,1,0,0,1,0,0,0,0,0,0
2019p815985,2,0,0,2,0,0,0,0,0,0
2019p815800,2,0,0,2,0,0,0,0,0,0
2019p815146,2,0,0,2,0,0,0,0,0,0
2019p814867,1,0,0,0,1,0,0,0,0,0
2019p814804,1,0,0,1,0,0,0,0,0,0
2019p814639,3,0,0,2,1,0,0,0,0,0
2019p814477,1,0,0,1,0,0,0,0,0,0
2019p814194,1,0,0,1,0,0,0,0,0,0
2019p814159,1,0,0,1,0,0,0,0,0,0
2019p813173,2,0,0,2,0,0,0,0,0,0
2019p812875,52,0,0,35,14,3,0,0,0,0
2019p812372,1,0,0,1,0,0,0,0,0,0
2019p812220,1,0,0,0,1,0,0,0,0,0
2019p812211,2,0,0,1,1,0,0,0,0,0
2019p812136,1,0,0,1,0,0,0,0,0,0
2019p811805,4,0,0,3,0,1,0,0,0,0
2019p811718,14,0,0,10,3,0,0,0,1,0
2019p811715,18,0,0,12,5,0,0,0,1,0
2019p811696,16,0,0,9,7,0,0,0,0,0
2019p811694,16,0,0,8,7,1,0,0,0,0
2019p811689,17,0,0,8,7,1,0,1,0,0
2019p811674,164,0,0,91,66,4,2,1,0,0
2019p811668,240,0,0,132,100,5,2,1,0,0
2019p811496,2,0,0,2,0,0,0,0,0,0
2019p811464,4,0,0,3,1,0,0,0,0,0
2019p811412,32,0,0,30,2,0,0,0,0,0
