publicid,longitude,latitude,total_reports,mmi
2019p744118,175.292358398438,-37.7737426757812,1,3
2019p744118,174.534301757812,-35.6259155273438,1,3
2019p744118,174.468383789062,-35.6643676757812,1,3
2019p701659,174.655151367188,-36.8344116210938,2,3
2019p686483,169.238891601562,-44.9752807617188,1,3
2019p686483,169.205932617188,-45.0027465820312,1,3
2019p686483,169.161987304688,-45.0906372070312,1,3
2019p668117,176.863403320312,-39.5315551757812,1,3
2019p668117,176.083374023438,-38.7185668945312,1,3
2019p658737,176.094360351562,-38.7185668945312,1,3
2019p649210,106.902465820312,47.8866577148438,1,3
2019p649210,50.1361083984375,40.4598999023438,1,3
2019p637984,175.610961914062,-37.7078247070312,1,4
2019p637984,175.599975585938,-37.6528930664062,1,3
2019p637984,175.599975585938,-37.7078247070312,1,3
2019p596908,174.797973632812,-41.3003540039062,1,3
2019p821442,172.578735351562,-43.3053588867188,1,4
2019p821163,176.248168945312,-38.1362915039062,1,3
2019p821163,173.853149414062,-39.4546508789062,1,4
2019p820281,172.589721679688,-43.2998657226562,1,3
2019p820281,172.589721679688,-43.2943725585938,2,4
2019p819875,173.248901367188,-41.2948608398438,1,3
2019p819875,174.863891601562,-37.0376586914062,1,4
2019p819766,176.204223632812,-37.6583862304688,1,3
2019p819766,175.929565429688,-37.5375366210938,1,3
2019p819729,173.270874023438,-41.2948608398438,2,3
2019p818909,172.545776367188,-43.5360717773438,1,3
2019p818909,172.655639648438,-43.3822631835938,3,3
2019p818901,172.545776367188,-43.5360717773438,1,3
2019p818901,172.655639648438,-43.3822631835938,2,3
2019p818901,172.600708007812,-43.4701538085938,1,4
2019p818901,177.017211914062,-37.9550170898438,1,3
2019p818672,175.358276367188,-38.0374145507812,1,3
2019p817317,174.765014648438,-36.8453979492188,1,3
2019p817317,171.216430664062,-44.0194702148438,1,3
2019p816569,175.885620117188,-38.9328002929688,3,3
2019p816569,176.061401367188,-38.7350463867188,1,3
2019p816569,175.896606445312,-38.9108276367188,2,3
2019p816567,175.885620117188,-38.9328002929688,3,3
2019p816567,176.061401367188,-38.7350463867188,1,3
2019p816567,175.896606445312,-38.9108276367188,2,3
2019p816407,172.633666992188,-43.4921264648438,1,3
2019p816407,176.896362304688,-37.9934692382812,1,3
2019p816407,173.952026367188,-41.5145874023438,1,3
2019p816407,174.644165039062,-36.8179321289062,1,8
2019p816313,176.204223632812,-38.6361694335938,1,4
2019p816313,172.699584960938,-43.5470581054688,1,3
2019p816196,172.688598632812,-43.3163452148438,1,3
2019p816196,174.589233398438,-36.8838500976562,1,3
2019p816168,172.688598632812,-43.3163452148438,1,3
2019p815985,174.666137695312,-36.8014526367188,1,3
2019p815985,4.9603271484375,51.4846801757812,1,3
2019p815800,175.281372070312,-39.8501586914062,1,3
2019p815800,173.941040039062,-41.5090942382812,1,3
