publicid,eventtype,origintime,modificationtime,longitude, latitude, magnitude, depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2019p821811,earthquake,2019-11-01T01:41:26.801Z,2019-11-01T01:43:17.743Z,177.7960815,-38.23313904,1.57956874,21.50821304,M,,LOCSAT,preliminary,manual,iasp91,10,10,6,0.1557533443,96.26902771,0.1914379541,0
2019p821181,earthquake,2019-10-31T20:05:37.510Z,2019-10-31T20:16:41.423Z,178.2064667,-37.65155411,3.429235769,29.66577721,M,,LOCSAT,confirmed,manual,iasp91,27,19,48,0.1194709465,123.3018036,0.4549350881,0
2019p820764,earthquake,2019-10-31T16:23:11.989Z,2019-10-31T16:25:13.054Z,177.8765259,-38.82737732,1.533436332,21.27732468,M,,LOCSAT,confirmed,manual,iasp91,21,14,3,0.09522348642,169.6436605,0.425267627,0
2019p820636,earthquake,2019-10-31T15:14:56.410Z,2019-10-31T15:18:18.508Z,177.5902557,-38.72949219,1.209263367,40.70236206,M,,LOCSAT,confirmed,manual,iasp91,22,14,6,0.1365790665,69.70567322,0.4815888304,0
2019p820539,earthquake,2019-10-31T14:23:36.307Z,2019-10-31T14:26:19.575Z,178.2692871,-38.169487,1.1789659,21.55150032,M,,LOCSAT,confirmed,manual,iasp91,12,7,3,0.09824360162,194.3608551,0.4000043301,0
2019p820381,earthquake,2019-10-31T12:59:10.303Z,2019-10-31T13:00:55.722Z,177.8568268,-38.81607819,1.79044855,21.67024803,M,,LOCSAT,confirmed,manual,iasp91,14,10,6,0.1083467975,129.3073044,0.3279256257,0
2019p820014,earthquake,2019-10-31T09:43:57.531Z,2019-10-31T09:46:02.350Z,177.9037476,-38.67007828,1.460157107,25.0611248,M,,LOCSAT,confirmed,manual,iasp91,16,10,4,0.1163711324,131.540596,0.3643101628,0
2019p819908,earthquake,2019-10-31T08:47:04.003Z,2019-10-31T16:15:27.089Z,178.6623383,-37.81521225,1.767325887,35.34984207,M,,LOCSAT,confirmed,manual,iasp91,20,12,5,0.195998311,256.3954163,0.4068217771,0
2019p819668,earthquake,2019-10-31T06:39:19.479Z,2019-10-31T06:44:27.329Z,178.6593475,-37.82252884,2.571493881,35.0080986,M,,LOCSAT,confirmed,manual,iasp91,20,13,11,0.1936121136,250.9661865,0.4166825573,0
2019p819646,earthquake,2019-10-31T06:27:35.379Z,2019-10-31T06:36:53.915Z,178.534729,-38.34445953,2.103589851,23.957304,M,,LOCSAT,confirmed,manual,iasp91,14,10,5,0.2922711372,251.7491302,0.4348712812,0
2019p819520,earthquake,2019-10-31T05:20:48.094Z,2019-10-31T05:26:16.688Z,178.527832,-38.34756088,2.481415533,23.26118851,M,,LOCSAT,confirmed,manual,iasp91,21,14,7,0.2860277295,220.5581055,0.4802285093,0
