publicid,eventtype,origintime,modificationtime,longitude, latitude, magnitude, depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2019p821799,earthquake,2019-11-01T01:34:45.687Z,2019-11-01T01:37:18.556Z,176.1740417,-39.57862473,1.114516158,28.27083397,M,,LOCSAT,confirmed,manual,iasp91,18,11,6,0.1651665866,98.82148743,0.324223521,0
2019p821533,earthquake,2019-10-31T23:13:10.632Z,2019-10-31T23:21:19.563Z,177.8132477,-39.12496185,1.771957374,19.73065567,M,,LOCSAT,confirmed,manual,iasp91,21,14,3,0.07794253528,146.7546387,0.3810576449,0
2019p821340,earthquake,2019-10-31T21:30:08.312Z,2019-10-31T21:40:45.933Z,177.8126526,-39.12284851,2.961412108,22.82036972,M,,LOCSAT,confirmed,manual,iasp91,40,27,35,0.079143323,114.5341339,0.4671340932,0
2019p821308,earthquake,2019-10-31T21:13:09.980Z,2019-10-31T21:19:17.849Z,176.7640991,-39.8651123,1.498739171,32.15496826,M,,LOCSAT,confirmed,manual,iasp91,21,11,5,0.1119043007,104.7458878,0.1645116106,0
2019p820658,earthquake,2019-10-31T15:26:57.427Z,2019-10-31T15:28:43.002Z,176.6593323,-39.68679428,1.35032361,30.4968853,M,,LOCSAT,confirmed,manual,iasp91,16,10,4,0.1989425868,79.51359558,0.3128069639,0
2019p820545,earthquake,2019-10-31T14:26:58.739Z,2019-10-31T14:29:02.897Z,177.7634735,-39.11032486,1.750614949,16.42821884,M,,LOCSAT,confirmed,manual,iasp91,17,10,3,0.1127364561,144.6707687,0.4294048557,0
2019p820112,earthquake,2019-10-31T10:35:57.673Z,2019-10-31T10:38:40.786Z,177.7871552,-39.12690353,2.502541726,22.34846115,M,,LOCSAT,confirmed,manual,iasp91,15,9,8,0.09665585309,151.8707504,0.3032492547,0
2019p819980,earthquake,2019-10-31T09:25:31.781Z,2019-10-31T09:28:01.971Z,176.1245117,-39.65454483,2.282197037,18.92381287,M,,LOCSAT,confirmed,manual,iasp91,26,20,13,0.1897253692,100.5828857,0.3892144663,0
2019p818808,earthquake,2019-10-30T23:01:33.475Z,2019-10-30T23:10:58.270Z,176.6091309,-40.06297302,1.429786348,38.42069244,M,,LOCSAT,confirmed,manual,iasp91,22,13,4,0.1293714643,93.75541687,0.4728804134,0
2019p815601,earthquake,2019-10-29T18:32:19.778Z,2019-10-29T19:46:36.500Z,177.0405731,-39.61632538,1.826243218,23.63035011,M,,LOCSAT,confirmed,manual,iasp91,19,13,7,0.05068698153,151.2009125,0.3313376688,0
2019p815311,earthquake,2019-10-29T15:58:12.560Z,2019-10-29T15:59:46.520Z,176.1227875,-39.54419327,1.252250233,21.18720436,M,,LOCSAT,confirmed,manual,iasp91,15,9,6,0.2158308476,184.3953133,0.3447411461,0
2019p814992,earthquake,2019-10-29T13:07:56.992Z,2019-10-29T13:10:07.962Z,176.9000092,-39.66939163,2.053483144,40.09568787,M,,LOCSAT,confirmed,manual,iasp91,22,12,12,0.1259592921,99.2137146,0.4037842657,0
2019p814300,earthquake,2019-10-29T06:59:12.854Z,2019-10-29T07:02:06.275Z,176.7548676,-39.60573196,1.390119447,29.18133926,M,,LOCSAT,confirmed,manual,iasp91,12,6,5,0.167413801,117.5730972,0.2776398833,0
2019p813204,earthquake,2019-10-28T21:15:39.406Z,2019-10-28T21:36:11.047Z,177.5382538,-39.11914825,1.674557804,25.02173233,M,,LOCSAT,confirmed,manual,iasp91,20,12,6,0.1434282362,120.2668915,0.3003693901,0
2019p812886,earthquake,2019-10-28T18:25:52.161Z,2019-10-28T18:32:12.491Z,177.1741791,-39.26629639,1.870282381,22.63103676,M,,LOCSAT,confirmed,manual,iasp91,23,15,7,0.1384398192,111.826973,0.3395146648,0
2019p811932,earthquake,2019-10-28T09:57:38.380Z,2019-10-28T10:01:39.234Z,177.1210022,-39.2777977,2.031182823,29.25344086,M,,LOCSAT,confirmed,manual,iasp91,34,21,13,0.09821648151,106.3587036,0.2984896829,0
2019p811894,earthquake,2019-10-28T09:37:20.821Z,2019-10-28T09:41:01.056Z,177.7702789,-39.11231613,1.337694811,21.78975487,M,,LOCSAT,confirmed,manual,iasp91,21,12,7,0.1136742458,113.5915604,0.4348780748,0
2019p811203,earthquake,2019-10-28T03:29:14.428Z,2019-10-28T03:31:10.956Z,176.6737671,-39.94916153,1.862585602,30.37505722,M,,LOCSAT,confirmed,manual,iasp91,28,14,7,0.06896679103,72.05470276,0.2596174311,0
2019p811054,earthquake,2019-10-28T02:09:40.849Z,2019-10-28T02:11:32.223Z,177.8169098,-39.061409,1.839906943,21.18273735,M,,LOCSAT,confirmed,manual,iasp91,25,14,8,0.1148814857,121.9459667,0.5349886962,0
2019p810135,earthquake,2019-10-27T18:00:13.005Z,2019-10-27T18:02:09.281Z,176.7966614,-39.90471268,1.403786995,12.36535454,M,,LOCSAT,confirmed,manual,iasp91,18,12,5,0.1263731569,116.790184,0.5062628035,0
2019p809914,earthquake,2019-10-27T16:02:32.899Z,2019-10-27T16:04:47.794Z,176.5441284,-40.03831482,1.24937779,40.73430634,M,,LOCSAT,confirmed,manual,iasp91,19,12,5,0.08361111581,74.69184875,0.5958147562,0
2019p809072,earthquake,2019-10-27T08:33:38.271Z,2019-10-27T08:35:42.613Z,177.3025208,-39.07682037,1.600417412,25.59025955,M,,LOCSAT,confirmed,manual,iasp91,26,14,7,0.05301871896,132.6070328,0.5135661529,0
2019p808711,earthquake,2019-10-27T05:21:15.205Z,2019-10-27T05:22:53.457Z,177.7491913,-39.12634659,1.739502106,16.77892876,M,,LOCSAT,confirmed,manual,iasp91,15,9,6,0.1198498309,165.2148285,0.3457545618,0
2019p807883,earthquake,2019-10-26T22:00:24.529Z,2019-10-26T22:02:05.901Z,176.5667572,-39.98893356,2.249976014,36.5152092,M,,LOCSAT,confirmed,manual,iasp91,16,10,9,0.1226789951,74.01757431,0.3474412175,0
2019p807368,earthquake,2019-10-26T17:25:51.536Z,2019-10-26T17:27:40.828Z,177.6323853,-39.28962708,2.896882918,19.50847626,M,,LOCSAT,confirmed,manual,iasp91,15,10,8,0.2534563243,171.5909843,0.3207079994,0
2019p807264,earthquake,2019-10-26T16:30:16.053Z,2019-10-26T16:37:27.941Z,176.8734589,-39.6442337,1.534655955,32.45275497,M,,LOCSAT,confirmed,manual,iasp91,20,12,4,0.1498068422,83.95304871,0.3758767916,0
2019p806334,earthquake,2019-10-26T08:14:56.236Z,2019-10-26T08:19:35.215Z,177.7939148,-39.13017654,1.731410852,19.63824272,M,,LOCSAT,confirmed,manual,iasp91,22,13,6,0.09073580056,153.3712997,0.4270101451,0
2019p805561,earthquake,2019-10-26T01:23:07.448Z,2019-10-26T01:29:19.600Z,177.7783661,-39.1439209,1.799257113,19.40568352,M,,LOCSAT,confirmed,manual,iasp91,17,10,7,0.1003932282,163.7090225,0.4342404897,0
2019p805056,earthquake,2019-10-25T20:54:20.819Z,2019-10-25T20:57:11.394Z,177.5359497,-39.08322144,1.778541785,21.83987617,M,,LOCSAT,confirmed,manual,iasp91,27,14,6,0.1235616133,107.9923248,0.2803360943,0
2019p804923,earthquake,2019-10-25T19:43:26.408Z,2019-10-25T19:46:44.850Z,176.6795197,-39.95457077,1.377418758,34.4811554,M,,LOCSAT,confirmed,manual,iasp91,19,11,7,0.1590004712,74.70639801,0.4546850222,0
2019p804448,earthquake,2019-10-25T15:30:22.776Z,2019-10-25T15:52:00.870Z,176.5973511,-40.12459564,1.488510389,13.30662727,M,,LOCSAT,confirmed,manual,iasp91,22,16,5,0.1345237345,103.1543655,0.4389505028,0
2019p804182,earthquake,2019-10-25T13:08:37.634Z,2019-10-25T13:11:55.501Z,177.7793884,-39.14221573,1.741146002,19.34855461,M,,LOCSAT,confirmed,manual,iasp91,17,12,6,0.09976429492,162.5554581,0.3366582993,0
2019p803846,earthquake,2019-10-25T10:09:36.468Z,2019-10-25T10:19:25.138Z,177.4308319,-39.20636749,1.844186116,26.80940247,M,,LOCSAT,confirmed,manual,iasp91,23,13,6,0.2001856267,165.2325821,0.3363391331,0
2019p803593,earthquake,2019-10-25T07:54:41.267Z,2019-10-25T07:59:33.534Z,176.5938721,-40.02692413,1.665965084,38.74973297,M,,LOCSAT,confirmed,manual,iasp91,36,23,6,0.0832862854,81.35305023,0.5331282948,0
2019p802061,earthquake,2019-10-24T18:18:30.067Z,2019-10-24T18:21:13.486Z,176.7186584,-39.93553925,1.872496584,32.96122742,M,,LOCSAT,confirmed,manual,iasp91,21,11,7,0.1455306858,85.72050476,0.4015680122,0
2019p801907,earthquake,2019-10-24T16:56:34.178Z,2019-10-24T16:59:00.765Z,176.4150238,-39.94897079,1.482425008,40.06363678,M,,LOCSAT,confirmed,manual,iasp91,21,12,6,0.1168142334,62.22744226,0.5523799398,0
2019p801579,earthquake,2019-10-24T14:01:31.899Z,2019-10-24T15:21:53.644Z,177.7721558,-39.09722519,1.674621137,22.38874626,M,,LOCSAT,confirmed,manual,iasp91,18,11,6,0.1185501963,147.8463135,0.2900489188,0
2019p801525,earthquake,2019-10-24T13:32:38.989Z,2019-10-24T15:20:24.287Z,176.6070709,-39.91927338,1.782622186,27.6316185,M,,LOCSAT,confirmed,manual,iasp91,18,10,8,0.1932220459,60.61903381,0.2686677934,0
2019p801386,earthquake,2019-10-24T12:18:44.520Z,2019-10-24T13:29:59.688Z,176.9367676,-39.0524025,1.742464483,34.61019135,M,,LOCSAT,confirmed,manual,iasp91,24,17,7,0.1107563823,71.59792328,0.4358308689,0
2019p801377,earthquake,2019-10-24T12:14:04.342Z,2019-10-24T12:23:57.291Z,177.766571,-39.08823013,2.349360903,20.34022331,M,,LOCSAT,confirmed,manual,iasp91,25,18,6,0.09817332029,125.9850769,0.449917788,0
2019p801282,earthquake,2019-10-24T11:23:20.825Z,2019-10-24T11:25:47.044Z,177.7870331,-39.08721924,2.012842266,23.56230164,M,,LOCSAT,confirmed,manual,iasp91,16,10,6,0.113867633,100.4457417,0.24005958,0
2019p800458,earthquake,2019-10-24T04:04:09.033Z,2019-10-24T04:09:18.137Z,177.5400391,-39.23482132,2.123843781,19.53138161,M,,LOCSAT,confirmed,manual,iasp91,15,10,4,0.2368023843,191.9603424,0.3723432345,0
2019p799915,earthquake,2019-10-23T23:15:05.957Z,2019-10-23T23:18:24.331Z,177.7787781,-39.08351898,2.262956198,21.84742546,M,,LOCSAT,confirmed,manual,iasp91,26,20,12,0.1024754494,121.7546768,0.4311054421,0
2019p799688,earthquake,2019-10-23T21:14:06.861Z,2019-10-23T21:17:28.773Z,177.7579498,-39.09651947,2.243411538,13.3724432,M,,LOCSAT,confirmed,manual,iasp91,23,14,7,0.09939334542,109.319046,0.7109500935,0
2019p799630,earthquake,2019-10-23T20:43:13.076Z,2019-10-23T20:46:31.484Z,177.7843933,-39.09628296,2.359388459,22.45792198,M,,LOCSAT,confirmed,manual,iasp91,27,16,7,0.1106930897,133.9976273,0.4079798247,0
2019p798598,earthquake,2019-10-23T11:33:16.942Z,2019-10-23T12:55:50.529Z,176.3356781,-39.63685608,1.546221073,26.63720703,M,,LOCSAT,confirmed,manual,iasp91,25,16,7,0.1503797472,82.54811096,0.6366094043,0
2019p798556,earthquake,2019-10-23T11:11:08.141Z,2019-10-23T11:43:09.716Z,176.5176697,-40.06251144,1.198133935,28.28322601,M,,LOCSAT,confirmed,manual,iasp91,16,13,5,0.2226459533,72.93421173,0.2070036912,0
2019p798485,earthquake,2019-10-23T10:33:01.103Z,2019-10-23T10:56:04.622Z,177.7686768,-39.10198212,1.972317616,22.0976181,M,,LOCSAT,confirmed,manual,iasp91,17,10,6,0.1090348512,173.5454559,0.4188478634,0
2019p798437,earthquake,2019-10-23T10:07:38.003Z,2019-10-23T10:49:11.529Z,177.7706146,-39.08860016,2.098787914,20.50054741,M,,LOCSAT,confirmed,manual,iasp91,27,15,7,0.1007596776,102.0467529,0.4279552143,0
2019p798375,earthquake,2019-10-23T09:34:13.206Z,2019-10-23T09:42:25.528Z,176.734848,-39.95207596,1.867497181,38.11553192,M,,LOCSAT,confirmed,manual,iasp91,23,14,7,0.1160080582,93.74483871,0.2341724966,0
2019p797250,earthquake,2019-10-22T23:35:17.403Z,2019-10-22T23:37:54.134Z,177.7927551,-39.13076782,2.48072242,20.19509888,M,,LOCSAT,confirmed,manual,iasp91,22,12,6,0.09146749228,153.9039993,0.376949353,0
2019p796307,earthquake,2019-10-22T15:12:23.850Z,2019-10-22T15:14:22.125Z,176.9308777,-39.04789734,2.4750382,31.8126812,M,,LOCSAT,confirmed,manual,iasp91,34,25,24,0.1085375398,68.64222717,0.3601427747,0
2019p796030,earthquake,2019-10-22T12:44:51.041Z,2019-10-22T12:48:09.693Z,176.7877045,-39.91904068,1.506985573,14.96528912,M,,LOCSAT,confirmed,manual,iasp91,17,11,3,0.1252930015,112.1465454,0.409711891,0
2019p795707,earthquake,2019-10-22T09:53:11.263Z,2019-10-22T09:55:42.943Z,176.67453,-39.28680038,2.710269756,29.54990005,M,,LOCSAT,confirmed,manual,iasp91,17,11,9,0.1581908315,75.64900208,0.2743038386,0
2019p794973,earthquake,2019-10-22T03:21:49.863Z,2019-10-22T06:35:11.751Z,176.93396,-39.29834747,1.842906733,30.28935814,M,,LOCSAT,confirmed,manual,iasp91,20,12,7,0.05958001316,109.0412865,0.2823569522,0
2019p793628,earthquake,2019-10-21T15:25:10.172Z,2019-10-21T15:28:22.611Z,177.7922821,-39.12417603,1.869838506,23.18383026,M,,LOCSAT,confirmed,manual,iasp91,19,13,5,0.09360735863,118.1920242,0.2583485642,0
2019p793503,earthquake,2019-10-21T14:18:49.858Z,2019-10-21T14:21:07.273Z,176.9084473,-39.59051895,1.781609908,22.90678024,M,,LOCSAT,confirmed,manual,iasp91,18,11,5,0.1471455395,105.6649609,0.2408609292,0
2019p793348,earthquake,2019-10-21T12:56:17.958Z,2019-10-21T12:59:06.418Z,176.6648712,-39.61631393,1.343148776,19.21513367,M,,LOCSAT,confirmed,manual,iasp91,19,12,3,0.1406221539,70.3366394,0.3915140553,0
2019p793287,earthquake,2019-10-21T12:23:48.317Z,2019-10-21T12:25:50.655Z,176.5169067,-40.00653839,2.013163691,39.71502304,M,,LOCSAT,confirmed,manual,iasp91,18,10,8,0.08125526458,83.13336182,0.5152007795,0
2019p792513,earthquake,2019-10-21T05:31:23.547Z,2019-10-21T05:57:23.682Z,177.5363464,-39.05438614,1.599539401,22.78896713,M,,LOCSAT,confirmed,manual,iasp91,17,10,4,0.1118044779,134.5564728,0.3970527087,0
2019p792011,earthquake,2019-10-21T01:03:40.867Z,2019-10-21T01:10:59.411Z,176.4284363,-40.02650452,0.9558116582,27.60405159,M,,LOCSAT,confirmed,manual,iasp91,8,5,4,0.03884611651,136.5379791,0.2597872972,0
2019p791342,earthquake,2019-10-20T19:07:23.396Z,2019-10-20T19:13:45.249Z,177.397644,-39.1154213,1.884432809,18.53686905,M,,LOCSAT,confirmed,manual,iasp91,19,11,6,0.1327506304,178.0261078,0.3315321651,0
2019p790476,earthquake,2019-10-20T11:25:51.927Z,2019-10-20T11:27:31.935Z,176.5272369,-39.82824326,2.683754393,31.47784424,M,,LOCSAT,confirmed,manual,iasp91,28,21,15,0.2196429819,75.1781311,0.2438263905,0
2019p789582,earthquake,2019-10-20T03:29:26.117Z,2019-10-20T03:32:18.298Z,176.70755,-39.82629395,2.487108271,32.19924927,M,,LOCSAT,confirmed,manual,iasp91,24,15,13,0.1341138482,73.60046387,0.3275757817,0
2019p789558,earthquake,2019-10-20T03:16:38.645Z,2019-10-20T03:18:47.632Z,177.7821655,-39.10742569,2.815001733,21.58586121,M,,LOCSAT,confirmed,manual,iasp91,18,14,14,0.1070429981,109.6268692,0.3485023288,0
2019p789363,earthquake,2019-10-20T01:32:59.355Z,2019-10-20T01:36:40.715Z,177.7777863,-39.06450272,1.365691053,16.22187614,M,,LOCSAT,confirmed,manual,iasp91,15,9,6,0.09162604064,120.4680328,0.4512333314,0
2019p788876,earthquake,2019-10-19T21:13:27.127Z,2019-10-19T21:21:28.144Z,176.41922,-39.66927719,1.474065623,33.76675797,M,,LOCSAT,confirmed,manual,iasp91,18,12,8,0.04516972601,74.69737244,0.4394332748,0
2019p788282,earthquake,2019-10-19T15:56:51.122Z,2019-10-19T15:57:57.643Z,177.1238708,-39.19342804,2.010733183,29.20615005,M,,LOCSAT,confirmed,manual,iasp91,16,10,6,0.1213308051,116.0591888,0.2592544827,0
2019p788226,earthquake,2019-10-19T15:26:51.153Z,2019-10-19T15:28:17.612Z,176.5823975,-40.07156754,1.713288018,10.00372982,M,,LOCSAT,confirmed,manual,iasp91,21,13,7,0.1090858877,88.96266174,0.6625849078,0
2019p788073,earthquake,2019-10-19T14:05:22.325Z,2019-10-19T14:09:45.209Z,176.6128235,-39.90708923,1.308513034,32.70289612,M,,LOCSAT,confirmed,manual,iasp91,22,11,6,0.205330953,61.81671143,0.3017880629,0
2019p787794,earthquake,2019-10-19T11:36:46.917Z,2019-10-19T11:39:20.688Z,177.7662354,-39.11174774,1.87971758,18.59972572,M,,LOCSAT,confirmed,manual,iasp91,30,17,11,0.1151867881,113.6791229,0.4531146746,0
2019p787707,earthquake,2019-10-19T10:50:34.740Z,2019-10-19T10:52:34.493Z,177.5226746,-39.02413559,1.679269288,22.82441711,M,,LOCSAT,confirmed,manual,iasp91,18,11,9,0.1176472679,126.2834702,0.3319734953,0
2019p787504,earthquake,2019-10-19T09:02:36.711Z,2019-10-19T09:05:03.323Z,177.3977966,-39.11528015,2.001665991,18.09966278,M,,LOCSAT,confirmed,manual,iasp91,26,18,6,0.1328235269,115.0626984,0.2916996286,0
2019p787199,earthquake,2019-10-19T06:19:58.473Z,2019-10-19T06:21:46.202Z,176.5326233,-40.02897263,1.594539036,36.00449371,M,,LOCSAT,confirmed,manual,iasp91,18,11,7,0.07896955311,71.20838928,0.5475667538,0
2019p785541,earthquake,2019-10-18T15:36:29.273Z,2019-10-18T15:39:21.281Z,176.6665192,-40.0075798,1.69724841,32.09454727,M,,LOCSAT,confirmed,manual,iasp91,34,19,7,0.08966572583,86.52038574,0.3296206759,0
2019p785223,earthquake,2019-10-18T12:46:53.462Z,2019-10-18T12:50:50.883Z,176.7571869,-39.73884583,1.711177151,29.26306725,M,,LOCSAT,confirmed,manual,iasp91,26,19,8,0.1073831543,50.73944664,0.2386865354,0
2019p785000,earthquake,2019-10-18T10:48:01.598Z,2019-10-18T10:56:51.198Z,177.7953491,-39.15430069,2.663808331,19.3373127,M,,LOCSAT,confirmed,manual,iasp91,44,37,30,0.08682742715,129.6066513,0.5613420722,0
2019p784416,earthquake,2019-10-18T05:37:25.072Z,2019-10-18T05:39:31.056Z,177.8166656,-39.14820862,1.776225676,17.62197304,M,,LOCSAT,confirmed,manual,iasp91,20,14,8,0.07037290186,165.9760284,0.5037488664,0
2019p783999,earthquake,2019-10-18T01:55:10.027Z,2019-10-18T01:57:07.788Z,177.8512726,-39.14691162,2.254420836,14.56613827,M,,LOCSAT,confirmed,manual,iasp91,23,17,10,0.1863476485,206.1959362,0.4538427239,0
2019p782747,earthquake,2019-10-17T14:47:36.497Z,2019-10-17T14:51:40.776Z,176.8196259,-39.75976562,1.102680763,28.69348717,M,,LOCSAT,confirmed,manual,iasp91,14,9,4,0.05578872934,79.88710022,0.3434350836,0
2019p782492,earthquake,2019-10-17T12:32:14.618Z,2019-10-17T12:36:11.901Z,176.8302917,-39.68092346,1.703292027,38.34802246,M,,LOCSAT,confirmed,manual,iasp91,24,17,9,0.03636078537,79.19606018,0.4696089742,0
2019p782192,earthquake,2019-10-17T09:51:58.797Z,2019-10-17T09:56:46.119Z,176.5520477,-39.96902084,1.689794693,33.56564331,M,,LOCSAT,confirmed,manual,iasp91,44,28,10,0.1279819906,63.32608032,0.481369086,0
2019p780966,earthquake,2019-10-16T22:58:40.824Z,2019-10-16T23:01:56.884Z,177.3018494,-39.33760452,2.166865304,21.45690536,M,,LOCSAT,confirmed,manual,iasp91,17,11,5,0.2487812787,205.3092802,0.3785155406,0
2019p779962,earthquake,2019-10-16T14:04:07.883Z,2019-10-16T14:28:32.053Z,177.4955444,-39.11893463,1.664847482,24.23979378,M,,LOCSAT,confirmed,manual,iasp91,19,13,4,0.1692487001,187.0230103,0.2589002891,0
2019p779852,earthquake,2019-10-16T13:05:14.074Z,2019-10-16T13:11:32.102Z,177.2721405,-39.38364792,2.583078063,24.69384575,M,,LOCSAT,confirmed,manual,iasp91,31,22,18,0.2457757741,140.8415375,0.2716947453,0
2019p779626,earthquake,2019-10-16T11:04:58.723Z,2019-10-16T11:11:35.392Z,176.6355896,-40.04613876,1.638146816,41.19839096,M,,LOCSAT,confirmed,manual,iasp91,20,15,3,0.1094841361,95.09424591,0.2955989118,0
2019p779507,earthquake,2019-10-16T10:01:22.432Z,2019-10-16T10:11:30.073Z,176.537323,-40.0931282,2.285039498,33.41252136,M,,LOCSAT,confirmed,manual,iasp91,30,20,15,0.07964164019,80.55729675,0.4035961517,0
2019p779451,earthquake,2019-10-16T09:31:37.181Z,2019-10-16T09:44:34.963Z,176.6654663,-39.87471771,1.387239568,39.72788239,M,,LOCSAT,confirmed,manual,iasp91,21,13,4,0.09308726341,72.15977478,0.3625096062,0
2019p778986,earthquake,2019-10-16T05:24:26.133Z,2019-10-16T05:27:51.500Z,177.7802887,-39.09027481,2.105268026,21.95774078,M,,LOCSAT,confirmed,manual,iasp91,19,13,6,0.1075740159,131.6555099,0.3754798625,0
2019p778104,earthquake,2019-10-15T21:34:01.934Z,2019-10-15T21:37:54.096Z,176.8734436,-39.68919373,1.684682051,18.60625076,M,,LOCSAT,confirmed,manual,iasp91,18,10,9,0.1049123928,99.71377563,0.2939406117,0
2019p777165,earthquake,2019-10-15T13:13:55.089Z,2019-10-15T13:28:09.827Z,177.8209686,-39.10666656,1.701866783,19.57444191,M,,LOCSAT,confirmed,manual,iasp91,21,13,1,0.08110124618,131.6153488,0.6156129735,0
2019p774931,earthquake,2019-10-14T17:23:36.240Z,2019-10-14T17:24:53.929Z,176.5865021,-39.87974548,2.086345744,21.2502861,M,,LOCSAT,confirmed,manual,iasp91,19,11,7,0.2157367021,61.05578613,0.2909790508,0
2019p773998,earthquake,2019-10-14T09:06:13.032Z,2019-10-14T09:51:11.733Z,177.5120087,-38.98884583,1.873686163,22.12162209,M,,LOCSAT,confirmed,manual,iasp91,22,16,6,0.08479572833,130.8629303,0.4635731053,0
2019p773901,earthquake,2019-10-14T08:14:26.963Z,2019-10-14T08:25:23.598Z,177.1407776,-38.969944,1.770602164,34.08106995,M,,LOCSAT,confirmed,manual,iasp91,24,14,7,0.06860910356,57.64930344,0.3946246606,0
2019p773895,earthquake,2019-10-14T08:11:40.005Z,2019-10-14T08:20:23.683Z,177.9858398,-39.21135712,2.473217186,22.60125351,M,,LOCSAT,confirmed,manual,iasp91,22,15,9,0.08486945182,252.3760309,0.3265032652,0
2019p773277,earthquake,2019-10-14T02:42:05.414Z,2019-10-14T02:46:58.884Z,176.5751343,-39.94947815,1.344006803,18.98936272,M,,LOCSAT,confirmed,manual,iasp91,20,13,7,0.009017893113,79.07179642,0.321933576,0
2019p772860,earthquake,2019-10-13T22:59:54.961Z,2019-10-13T23:04:32.274Z,176.5640259,-39.79875565,1.769137048,9.649511337,M,,LOCSAT,confirmed,manual,iasp91,27,18,7,0.214524135,59.38849354,0.5816753012,0
2019p772233,earthquake,2019-10-13T17:26:02.317Z,2019-10-13T17:28:14.820Z,177.7754059,-39.13954926,2.322096332,19.46708298,M,,LOCSAT,confirmed,manual,iasp91,33,26,17,0.103148289,120.8496094,0.3876309886,0
2019p772200,earthquake,2019-10-13T17:08:11.738Z,2019-10-13T17:12:55.385Z,176.2677765,-39.63921738,1.004299208,34.52649307,M,,LOCSAT,confirmed,manual,iasp91,18,10,5,0.07908446342,110.0019379,0.6380379708,0
2019p771960,earthquake,2019-10-13T15:00:33.255Z,2019-10-13T15:35:59.248Z,177.2463226,-39.43304062,1.738588827,17.7545681,M,,LOCSAT,confirmed,manual,iasp91,26,18,6,0.2578916848,144.7169991,0.6709240938,0
