publicid,eventtype,origintime,modificationtime,longitude, latitude, magnitude, depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2019p821791,earthquake,2019-11-01T01:30:30.817Z,2019-11-01T01:36:03.056Z,173.3077393,-40.37272263,4.186564512,176.2361298,M,,LOCSAT,confirmed,manual,iasp91,33,23,89,0.5619155765,130.8748932,0.3518378381,0
2019p820190,earthquake,2019-10-31T11:17:38.066Z,2019-10-31T11:21:51.640Z,172.9206238,-40.86446381,2.27604566,156.4591827,M,,LOCSAT,confirmed,manual,iasp91,15,8,4,0.2995325625,173.1773758,0.5372219659,0
2019p820099,earthquake,2019-10-31T10:29:10.266Z,2019-10-31T10:33:43.987Z,170.9787292,-43.2794342,1.688325938,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,11,9,2,0.4384326041,159.7199135,0.6326549415,0
2019p816856,earthquake,2019-10-30T05:41:23.910Z,2019-10-30T05:44:39.717Z,170.8756714,-43.25014877,1.617636506,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,10,7,3,0.203001529,95.98428345,0.3192621815,0
2019p815711,earthquake,2019-10-29T19:30:55.144Z,2019-10-29T20:01:06.036Z,169.2241211,-44.03052902,2.459056767,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,10,7,7,0.3191455305,126.4780502,0.6557706402,0
2019p815546,earthquake,2019-10-29T18:02:59.115Z,2019-10-29T18:11:22.773Z,172.1965027,-41.71316147,1.677189471,77.12174988,M,,LOCSAT,confirmed,manual,iasp91,15,9,5,0.295052886,112.2093706,0.4140206193,0
2019p814897,earthquake,2019-10-29T12:17:39.595Z,2019-10-29T12:19:50.163Z,172.7363129,-41.20055389,1.8621201,110.9094543,M,,LOCSAT,confirmed,manual,iasp91,23,12,5,0.1989500672,105.3768921,0.7039050374,0
2019p814456,earthquake,2019-10-29T08:22:25.749Z,2019-10-29T08:28:31.479Z,170.5399017,-43.73098755,2.623688037,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,18,12,7,0.3729847968,89.23612976,0.5121503978,0
2019p813220,earthquake,2019-10-28T21:23:57.716Z,2019-10-28T21:32:51.928Z,172.5657806,-41.19541931,2.090267693,112.7044296,M,,LOCSAT,confirmed,manual,iasp91,21,12,5,0.2495721132,129.7754974,0.4691556155,0
2019p811706,earthquake,2019-10-28T07:57:23.835Z,2019-10-28T08:00:40.503Z,172.4484863,-41.36318588,3.416911605,173.89534,M,,LOCSAT,confirmed,manual,tab,29,16,45,0.2354011536,134.9996948,0.4046905222,0
2019p809485,earthquake,2019-10-27T12:14:02.583Z,2019-10-27T12:19:03.762Z,172.5845642,-41.25226974,1.856584275,125.2951584,M,,LOCSAT,confirmed,manual,iasp91,18,12,3,0.1962049901,124.6610413,0.3400474504,0
2019p808960,earthquake,2019-10-27T07:34:17.705Z,2019-10-27T07:36:13.886Z,173.8778381,-40.51288986,2.004308409,71.82048798,M,,LOCSAT,confirmed,manual,iasp91,18,11,6,0.2904453278,112.3487754,0.372797341,0
2019p807870,earthquake,2019-10-26T21:53:17.254Z,2019-10-26T21:56:07.360Z,170.9373627,-43.23081589,1.892845334,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,13,9,4,0.214505434,79.74121475,0.3242844527,0
2019p807154,earthquake,2019-10-26T15:31:42.787Z,2019-10-26T15:41:02.316Z,170.8848114,-43.23854828,3.332938874,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,21,18,19,0.1966607869,61.49841499,0.4115337979,0
2019p806585,earthquake,2019-10-26T10:28:53.000Z,2019-10-26T10:50:56.558Z,172.8670044,-41.5104599,1.887033552,75.11539459,M,,LOCSAT,confirmed,manual,iasp91,18,14,2,0.1383882314,88.37115479,0.4786057397,0
2019p805104,earthquake,2019-10-25T21:19:47.791Z,2019-10-25T21:21:40.684Z,172.9112244,-41.39427567,2.39542904,78.82765198,M,,LOCSAT,confirmed,manual,iasp91,23,12,7,0.1156314462,65.34411621,0.5398348441,0
2019p804829,earthquake,2019-10-25T18:52:57.764Z,2019-10-25T18:55:10.607Z,170.90979,-43.22344971,2.322298383,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,17,13,6,0.1955712587,78.18691254,0.4481568299,0
2019p804601,earthquake,2019-10-25T16:51:29.817Z,2019-10-25T17:04:05.330Z,173.2227783,-40.62795258,2.721248605,160.6629944,M,,LOCSAT,confirmed,manual,iasp91,30,21,12,0.4514229596,101.7950325,0.4953281506,0
2019p804506,earthquake,2019-10-25T16:00:52.548Z,2019-10-25T16:10:05.162Z,171.5980682,-42.86497498,1.439970804,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,12,9,2,0.08683877438,125.3344421,0.429147005,0
2019p803579,earthquake,2019-10-25T07:47:12.112Z,2019-10-25T07:52:54.814Z,170.9124756,-43.23536682,1.96290214,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,17,14,4,0.2060073167,72.01908875,0.7529184236,0
2019p802970,earthquake,2019-10-25T02:22:41.357Z,2019-10-25T02:26:04.955Z,173.138382,-41.34583664,2.347985281,89.77295685,M,,LOCSAT,confirmed,manual,iasp91,35,24,8,0.2226171196,71.04282761,0.5308611719,0
2019p802482,earthquake,2019-10-24T22:02:55.341Z,2019-10-24T22:05:16.313Z,172.4244537,-41.59924316,3.043070556,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,33,18,8,0.2700588405,73.98014832,0.5070373304,0
2019p802407,earthquake,2019-10-24T21:22:57.591Z,2019-10-24T21:24:51.210Z,173.1896515,-41.45174789,1.771520486,59.67012024,M,,LOCSAT,confirmed,manual,iasp91,18,10,7,0.274582088,64.67068481,0.4431952565,0
2019p802213,earthquake,2019-10-24T19:39:25.592Z,2019-10-24T19:43:11.662Z,172.4739685,-41.31061172,2.442817419,177.2020416,M,,LOCSAT,confirmed,manual,iasp91,20,11,5,0.2311198413,135.9700384,0.573183932,0
2019p801675,earthquake,2019-10-24T14:52:07.115Z,2019-10-24T14:58:40.385Z,173.258194,-40.21583176,2.229501338,167.6653137,M,,LOCSAT,confirmed,manual,iasp91,13,9,4,0.7735663652,224.3870163,0.5870443132,0
2019p800731,earthquake,2019-10-24T06:29:41.320Z,2019-10-24T06:38:59.858Z,172.5043793,-41.65219879,2.983764392,62.92501068,M,,LOCSAT,confirmed,manual,iasp91,25,20,11,0.3164745271,100.2809044,0.3208582039,0
2019p798544,earthquake,2019-10-23T11:04:25.053Z,2019-10-23T11:39:39.845Z,172.6133118,-41.24734497,2.136875017,129.8880768,M,,LOCSAT,confirmed,manual,iasp91,23,16,8,0.1865149438,120.9452972,0.4017781143,0
2019p796598,earthquake,2019-10-22T17:47:38.267Z,2019-10-22T17:55:58.499Z,173.4562378,-40.47052383,2.681434848,135.3201447,M,,LOCSAT,confirmed,manual,iasp91,32,26,12,0.4846697748,131.8883553,0.5642453238,0
2019p795495,earthquake,2019-10-22T08:00:04.407Z,2019-10-22T08:05:51.091Z,170.9072571,-43.23623276,2.01201662,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,18,13,3,0.2043296248,74.94446564,0.5221147861,0
2019p792662,earthquake,2019-10-21T06:50:29.548Z,2019-10-21T06:55:10.318Z,170.8999023,-43.22890854,3.439640254,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,28,23,12,0.1952499747,64.41008759,0.3286659712,0
2019p792261,earthquake,2019-10-21T03:17:18.228Z,2019-10-21T04:11:21.011Z,173.4709625,-41.13229752,2.063806817,73.98517609,M,,LOCSAT,confirmed,manual,iasp91,21,12,5,0.1093105525,113.1378593,0.5064280373,0
2019p790499,earthquake,2019-10-20T11:37:54.695Z,2019-10-20T11:40:17.104Z,170.9236908,-43.21077728,2.237234563,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,23,14,7,0.1931762546,82.85992813,0.6002024533,0
2019p790286,earthquake,2019-10-20T09:44:50.222Z,2019-10-20T09:47:54.500Z,168.8007202,-44.02534103,2.572605854,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,17,11,3,0.04910489172,125.9147949,0.3916798785,0
2019p789984,earthquake,2019-10-20T07:04:00.140Z,2019-10-20T07:07:08.297Z,172.2542419,-41.83278656,3.060181269,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,25,15,12,0.3475078642,87.23727798,0.5407772219,0
2019p789924,earthquake,2019-10-20T06:31:33.842Z,2019-10-20T06:34:35.875Z,169.5399628,-43.99510193,2.468643286,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,20,16,5,0.322905302,96.22538948,0.6482586256,0
2019p789148,earthquake,2019-10-19T23:38:25.500Z,2019-10-19T23:45:45.529Z,172.190979,-41.6971817,1.960806596,80.26000977,M,,LOCSAT,confirmed,manual,iasp91,23,15,2,0.2931517065,92.34109497,0.4880735022,0
2019p787654,earthquake,2019-10-19T10:22:27.362Z,2019-10-19T10:27:10.092Z,170.9047394,-43.2296524,2.474287059,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,20,14,10,0.1980163902,64.55968475,0.3990132894,0
2019p787399,earthquake,2019-10-19T08:06:37.286Z,2019-10-19T08:08:59.156Z,172.7523956,-40.91531372,2.0521185,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,15,10,6,0.1916000843,145.2463226,0.2819262012,0
2019p786409,earthquake,2019-10-18T23:19:15.325Z,2019-10-18T23:33:51.351Z,172.5955353,-41.18878174,2.635155507,107.742218,M,,LOCSAT,confirmed,manual,iasp91,26,16,8,0.2430012673,91.76907349,0.3451861862,0
2019p783148,earthquake,2019-10-17T18:21:46.235Z,2019-10-17T18:25:00.200Z,173.9836884,-40.48095322,2.319623404,89.58197021,M,,LOCSAT,confirmed,manual,iasp91,18,11,5,0.3238885403,108.9043772,0.3752890186,0
2019p783044,earthquake,2019-10-17T17:26:17.733Z,2019-10-17T17:31:54.933Z,172.8300171,-40.69910431,2.319633085,201.8542175,M,,LOCSAT,confirmed,manual,iasp91,14,8,2,0.2611123025,216.4237061,0.3632398205,0
2019p782943,earthquake,2019-10-17T16:32:26.706Z,2019-10-17T16:37:12.888Z,171.3726044,-42.74227905,1.614115942,9.168181419,M,,LOCSAT,confirmed,manual,iasp91,21,14,2,0.0555986017,143.2130737,0.5907745215,0
2019p782299,earthquake,2019-10-17T10:49:24.308Z,2019-10-17T10:56:05.743Z,171.3613281,-42.70743179,3.639883722,9.88186264,M,,LOCSAT,confirmed,manual,iasp91,66,53,36,0.06334713101,67.00045776,0.5290085231,0
2019p780485,earthquake,2019-10-16T18:42:54.036Z,2019-10-16T18:46:30.930Z,170.870697,-43.25000763,3.639616699,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,25,19,26,0.2010805607,53.73981094,0.4951840616,0
2019p777178,earthquake,2019-10-15T13:20:41.212Z,2019-10-15T13:39:05.448Z,170.8918762,-43.25011063,1.496432092,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,11,8,3,0.2091585249,84.08599854,0.4000789639,0
2019p776240,earthquake,2019-10-15T05:01:18.845Z,2019-10-15T05:12:41.420Z,170.8704071,-43.25173187,4.429324674,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,69,64,30,0.2024840266,39.55407715,0.419474209,0
2019p774992,earthquake,2019-10-14T17:56:08.442Z,2019-10-14T17:58:40.576Z,173.449707,-40.25995636,2.915716671,153.9146576,M,,LOCSAT,confirmed,manual,iasp91,53,39,20,0.6498231888,147.2858963,0.4747335634,0
2019p774548,earthquake,2019-10-14T13:59:43.554Z,2019-10-14T14:25:52.072Z,172.6307526,-41.19158554,1.786330297,142.4188385,M,,LOCSAT,confirmed,manual,iasp91,16,10,5,0.2282555997,120.0508118,0.3129495583,0
2019p772045,earthquake,2019-10-13T15:45:55.604Z,2019-10-13T15:49:53.179Z,170.9591522,-43.25366211,1.753494827,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,27,20,3,0.2420817316,66.52024841,0.6233288402,0
2019p771884,earthquake,2019-10-13T14:20:09.493Z,2019-10-13T14:26:28.756Z,170.8861237,-43.23563766,2.467757192,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,26,19,7,0.1947780997,58.48625755,0.4064523157,0
2019p771689,earthquake,2019-10-13T12:36:04.148Z,2019-10-13T12:41:24.954Z,173.6894531,-40.63433456,1.68831317,108.5618973,M,,LOCSAT,confirmed,manual,iasp91,23,14,2,0.2431194633,202.2731171,0.5221128289,0
2019p769294,earthquake,2019-10-12T15:20:25.563Z,2019-10-12T15:25:16.975Z,172.4531555,-41.22706985,2.015975836,194.1502228,M,,LOCSAT,confirmed,manual,iasp91,15,8,5,0.2865922749,145.115243,0.2937330601,0
2019p768498,earthquake,2019-10-12T08:15:48.638Z,2019-10-12T08:18:51.162Z,172.6751862,-41.19036865,2.465073464,128.5100861,M,,LOCSAT,confirmed,manual,iasp91,21,15,8,0.2175403088,81.23519897,0.2892797545,0
2019p768367,earthquake,2019-10-12T07:06:29.423Z,2019-10-12T07:19:52.161Z,173.059433,-41.00830078,1.925862177,104.7521973,M,,LOCSAT,confirmed,manual,iasp91,16,8,6,0.319364816,138.4929276,0.1903018309,0
2019p767498,earthquake,2019-10-11T23:23:33.205Z,2019-10-11T23:34:13.276Z,173.1611786,-40.73654175,2.0072175,123.5659943,M,,LOCSAT,confirmed,manual,iasp91,17,12,6,0.3334445953,194.3555527,0.474332457,0
