publicid,eventtype,origintime,modificationtime,longitude, latitude, magnitude, depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2019p816182,quarry blast,2019-10-29T23:41:54.000Z,2019-10-29T23:47:32.663Z,170.4502,-45.3734,2.258018597,0,M,,,confirmed,manual,,0,0,6,0,0,0.8895249764,0
2019p812026,earthquake,2019-10-28T10:47:21.145Z,2019-10-28T10:52:22.015Z,165.8818817,-47.35858154,4.267483217,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,18,15,8,1.313118815,314.0443058,0.5577788289,0
2019p810990,earthquake,2019-10-28T01:35:59.544Z,2019-10-28T01:44:04.037Z,165.7898865,-47.47781754,3.06488293,12,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,17,9,6,1.447662473,316.4232006,0.8880363671,0.1034798468
2019p808401,earthquake,2019-10-27T02:36:02.849Z,2019-10-27T02:38:42.307Z,169.8317719,-44.48167801,2.550559085,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,24,12,7,0.2703026533,61.14266968,0.5089351104,0
2019p805347,quarry blast,2019-10-25T23:28:42.000Z,2019-10-25T23:32:10.394Z,170.4502,-45.3734,2.007541601,0,M,,,confirmed,manual,,0,0,1,0,0,1.022391669,0
2019p787116,earthquake,2019-10-19T05:35:51.411Z,2019-10-19T05:40:40.077Z,170.4209747,-45.02852631,2.195901818,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,14,8,2,0.1593250334,76.14487457,0.612999542,0
2019p786810,quarry blast,2019-10-19T02:52:52.000Z,2019-10-19T02:57:16.891Z,170.4502,-45.3734,2.00320632,0,M,,,confirmed,manual,,0,0,2,0,0,0.8980326014,0
2019p754340,quarry blast,2019-10-07T02:32:23.340Z,2019-10-07T02:38:45.034Z,170.4741669,-45.34032822,2.14487843,0,M,operator assigned,LOCSAT,confirmed,manual,iasp91,12,10,6,0.3199246526,195.2357922,1.034979892,0
2019p739075,earthquake,2019-10-01T10:59:12.420Z,2019-10-02T08:42:44.575Z,166.9228668,-46.71125412,2.497473317,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,11,8,3,0.5703169107,243.1017838,0.413999663,0
2019p738163,quarry blast,2019-10-01T02:53:33.000Z,2019-10-01T03:00:45.767Z,170.4502,-45.3753,2.37709093,0,M,,,confirmed,manual,,0,0,6,0,0,0.7883124983,0
2019p719833,outside of network interest,2019-09-24T08:08:08.121Z,2019-09-24T08:23:07.691Z,168.7698914,-45.22724467,3.088946765,271.25,M,,NonLinLoc,,automatic,nz3drx,11,11,3,0.3792025281,92.40896012,2.757513128,0
2019p712800,earthquake,2019-09-21T17:39:37.467Z,2019-10-17T04:47:45.162Z,165.9610291,-47.51226425,3.130943777,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,24,14,5,1.434313774,313.4180908,1.120068445,0
2019p711220,quarry blast,2019-09-21T03:38:12.869Z,2019-09-21T03:47:17.982Z,170.4478607,-45.36116028,2.107528755,0,M,,LOCSAT,confirmed,manual,iasp91,10,10,6,0.3463477194,199.9713516,0.7687854032,0
2019p694425,earthquake,2019-09-14T22:29:50.442Z,2019-09-14T22:35:00.590Z,170.8062286,-45.28432083,2.599635366,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,15,10,7,0.2175760716,161.6110878,0.7651286262,0
2019p686493,earthquake,2019-09-12T00:03:40.151Z,2019-09-12T00:14:48.650Z,169.2075958,-45.02935791,2.641061758,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,16,13,6,0.2139129341,69.24895477,0.3461713434,0
2019p682094,earthquake,2019-09-10T08:59:41.770Z,2019-09-10T09:02:50.708Z,169.9203949,-44.49656677,2.338722004,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,16,10,5,0.2192910016,73.4901886,0.3500558346,0
2019p681140,quarry blast,2019-09-10T00:31:45.000Z,2019-09-10T00:40:46.977Z,170.4502,-45.3734,2.361103584,0,M,,,confirmed,manual,,0,0,4,0,0,1.037161396,0
2019p678654,quarry blast,2019-09-09T02:27:02.000Z,2019-09-09T02:37:10.722Z,169.993,-46.057,2.376319917,0,M,,,confirmed,manual,,0,0,2,0,0,0.6709886744,0
2019p665034,earthquake,2019-09-04T01:30:19.686Z,2019-09-24T23:17:50.929Z,169.6401367,-44.43149948,2.232486151,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,14,10,2,0.3546889424,71.33291626,0.7110940486,0
2019p659851,quarry blast,2019-09-02T03:29:03.148Z,2019-09-19T04:46:21.086Z,170.4230804,-45.33526993,2.363941282,0,M,operator assigned,LOCSAT,confirmed,manual,iasp91,11,11,6,0.3307479322,187.9036503,0.4510212577,0
2019p657139,quarry blast,2019-09-01T03:23:58.000Z,2019-09-01T03:31:09.126Z,170.4502,-45.3734,1.646084396,0,M,,,confirmed,manual,,0,0,2,0,0,0.8762199798,0
2019p654889,earthquake,2019-08-31T07:25:12.357Z,2019-09-18T04:54:56.439Z,170.3455811,-45.47582245,2.405310839,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,12,8,3,0.4807348549,191.7986259,0.7935523795,0
2019p654446,earthquake,2019-08-31T03:29:14.783Z,2019-08-31T03:32:52.038Z,170.0434113,-44.88806915,2.296229462,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,12,9,6,0.4543813765,84.81137085,0.2995621035,0
2019p611488,earthquake,2019-08-15T06:01:14.431Z,2019-09-03T05:18:00.221Z,169.8088226,-45.035923,3.120812282,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,19,12,7,0.404494077,56.00534821,0.6040395221,0
2019p603512,earthquake,2019-08-12T07:11:19.789Z,2019-08-12T07:18:41.368Z,169.4134064,-44.69298935,2.21536311,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,19,13,6,0.3122344017,53.23907471,0.4529387885,0
2019p597368,quarry blast,2019-08-10T00:38:10.000Z,2019-08-10T00:41:46.138Z,170.4502,-45.3734,2.297148681,0,M,,,confirmed,manual,,0,0,5,0,0,0.8910654925,0
2019p581102,earthquake,2019-08-04T00:11:09.190Z,2019-08-21T04:21:30.318Z,165.7827148,-47.90458679,5.657353601,33,M,operator assigned,LOCSAT,confirmed,manual,iasp91,23,16,11,1.844021916,319.4309654,0.9221809768,0
2019p574323,earthquake,2019-08-01T11:59:28.657Z,2019-08-01T12:04:27.787Z,165.8131104,-47.62646484,3.604103475,12,M,operator assigned,LOCSAT,confirmed,manual,iasp91,16,10,8,1.577310085,316.878891,0.6237090869,0
