publicid,eventtype,origintime,modificationtime,longitude, latitude, magnitude, depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2019p820119,earthquake,2019-10-31T10:40:07.189Z,2019-10-31T10:45:22.645Z,174.3392029,-39.57973099,2.283660154,105.4525528,M,,LOCSAT,confirmed,manual,iasp91,21,14,6,0.1290819198,90.98083496,0.475826944,0
2019p818974,earthquake,2019-10-31T00:29:40.337Z,2019-10-31T00:50:57.774Z,174.8080139,-39.20287323,2.027121363,24.81580925,M,,LOCSAT,confirmed,manual,iasp91,20,16,8,0.08737821877,71.00488281,0.4428512227,0
2019p818030,earthquake,2019-10-30T16:06:40.309Z,2019-10-30T16:08:50.168Z,174.1867676,-39.88672256,2.201291167,107.4920502,M,,LOCSAT,confirmed,manual,iasp91,18,11,7,0.8805250525,197.9182873,0.4047584442,0
2019p817973,earthquake,2019-10-30T15:36:25.777Z,2019-10-30T15:38:08.748Z,174.8575897,-39.27373123,2.11893075,15.53428268,M,,LOCSAT,confirmed,manual,iasp91,21,12,10,0.1679000705,93.34633636,0.3603322608,0
2019p817285,earthquake,2019-10-30T09:30:38.762Z,2019-10-30T09:32:25.498Z,174.3748627,-40.21823883,2.553849294,71.04499817,M,,LOCSAT,confirmed,manual,iasp91,18,11,6,0.6591968536,126.9265747,0.4179454181,0
2019p817207,earthquake,2019-10-30T08:48:12.446Z,2019-10-30T08:51:20.837Z,174.8665161,-39.29239273,1.904490155,22.49253845,M,,LOCSAT,confirmed,manual,iasp91,22,16,6,0.1876516193,76.09979248,0.3830782369,0
2019p816302,earthquake,2019-10-30T00:45:40.983Z,2019-10-30T00:54:19.230Z,174.46521,-39.39257812,2.287420604,132.6521301,M,,LOCSAT,confirmed,manual,iasp91,22,16,9,0.3111636639,107.4970245,0.3512327065,0
2019p814590,earthquake,2019-10-29T09:34:00.280Z,2019-10-29T09:36:32.196Z,173.9754791,-39.91515732,2.529828164,125.4899521,M,,LOCSAT,confirmed,manual,iasp91,21,14,7,0.5069943666,121.3070526,0.6298501905,0
2019p814356,earthquake,2019-10-29T07:29:12.164Z,2019-10-29T07:32:21.903Z,175.0123291,-39.3038826,1.721486724,18.89783287,M,,LOCSAT,confirmed,manual,iasp91,22,13,7,0.259614557,129.5665741,0.2396267299,0
2019p811820,earthquake,2019-10-28T08:58:24.019Z,2019-10-28T09:00:39.832Z,175.023407,-39.32158661,1.50572466,14.52632809,M,,LOCSAT,confirmed,manual,iasp91,29,17,8,0.2526454926,129.7987976,0.3930522269,0
2019p811345,earthquake,2019-10-28T04:44:45.565Z,2019-10-28T04:46:57.821Z,175.0059814,-39.31837082,2.795538138,16.50388908,M,,LOCSAT,confirmed,manual,iasp91,22,18,25,0.2656958997,70.88232422,0.3495740716,0
