publicid,eventtype,origintime,modificationtime,longitude, latitude, magnitude, depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2019p821553,earthquake,2019-10-31T23:23:27.513Z,2019-10-31T23:29:10.186Z,175.5677338,-40.97793579,1.84115252,20.7613163,M,,LOCSAT,confirmed,manual,iasp91,22,12,7,0.089861326,81.82119751,0.366916572,0
2019p821169,earthquake,2019-10-31T19:58:52.598Z,2019-10-31T20:11:19.010Z,174.3787079,-41.52176666,2.187593086,12,M,operator assigned,LOCSAT,confirmed,manual,iasp91,23,18,11,0.230099365,114.0969238,0.250274262,0
2019p821133,earthquake,2019-10-31T19:39:43.173Z,2019-10-31T19:50:06.416Z,175.8535309,-40.60814285,2.330488239,24.77356339,M,,LOCSAT,confirmed,manual,iasp91,25,19,17,0.10419023,65.01686096,0.332476818,0
2019p821129,earthquake,2019-10-31T19:37:42.654Z,2019-10-31T19:58:44.062Z,174.5593872,-41.23521042,1.937422661,8.190834045,M,,LOCSAT,confirmed,manual,iasp91,28,19,6,0.105040968,100.2949295,0.341494901,0
2019p820865,earthquake,2019-10-31T17:17:05.989Z,2019-10-31T17:24:17.932Z,174.9302826,-40.69005966,1.790382466,9.089830399,M,,LOCSAT,confirmed,manual,iasp91,18,12,5,0.171358466,101.2193813,0.42407787,0
2019p820789,earthquake,2019-10-31T16:36:35.190Z,2019-10-31T16:38:32.001Z,176.7709045,-40.39948273,2.780267042,15.517416,M,,LOCSAT,confirmed,manual,iasp91,25,16,15,0.168656305,202.4213829,0.604540097,0
2019p820653,earthquake,2019-10-31T15:24:09.652Z,2019-10-31T15:26:05.755Z,175.7846222,-40.55299759,2.007697553,21.9821682,M,,LOCSAT,confirmed,manual,iasp91,23,15,10,0.142026573,115.1077728,0.407882122,0
2019p820562,earthquake,2019-10-31T14:35:43.124Z,2019-10-31T14:38:21.865Z,173.8215485,-41.24069977,1.474877873,35.78415298,M,,LOCSAT,confirmed,manual,iasp91,19,12,2,0.0420487,82.46085739,0.54469079,0
2019p820533,earthquake,2019-10-31T14:20:25.056Z,2019-10-31T14:23:30.366Z,174.4824066,-40.54912567,2.605412667,25.84215355,M,,LOCSAT,confirmed,manual,iasp91,32,25,17,0.450030804,74.75543213,0.373586122,0
2019p820422,earthquake,2019-10-31T13:21:04.437Z,2019-10-31T13:23:08.432Z,174.1416626,-41.72438812,1.440736667,5.98407793,M,,LOCSAT,confirmed,manual,iasp91,15,11,2,0.071379378,137.3174896,0.507596105,0
2019p820224,earthquake,2019-10-31T11:35:26.763Z,2019-10-31T11:39:02.338Z,174.2992401,-41.53653336,1.598862919,12,M,operator assigned,LOCSAT,confirmed,manual,iasp91,15,9,6,0.288356304,147.6312637,0.154412846,0
2019p820164,not locatable,2019-10-31T11:03:39.959Z,2019-10-31T11:13:53.186Z,175.2359161,-40.23733902,2.236638366,21.44051361,M,,LOCSAT,confirmed,manual,iasp91,6,6,5,0.870622098,346.247551,0.051182986,0
2019p820163,earthquake,2019-10-31T11:03:02.235Z,2019-10-31T11:06:04.262Z,173.7102966,-42.03490448,2.794742265,9.403512955,M,,LOCSAT,confirmed,manual,iasp91,27,20,13,0.171372876,114.3548965,0.421133645,0
2019p819806,earthquake,2019-10-31T07:53:19.750Z,2019-10-31T07:56:29.569Z,175.1077728,-40.92776489,2.258608634,24.22202492,M,,LOCSAT,confirmed,manual,iasp91,23,16,7,0.120674089,75.08743954,0.204086381,0
2019p819726,earthquake,2019-10-31T07:10:03.650Z,2019-10-31T07:16:37.543Z,175.3482361,-41.10273743,1.151158026,19.01461029,M,,LOCSAT,confirmed,manual,iasp91,21,12,7,0.128282771,75.35267639,0.351623584,0
2019p819697,earthquake,2019-10-31T06:54:59.697Z,2019-10-31T06:59:44.757Z,175.8154144,-40.64064407,1.580793697,24.26885033,M,,LOCSAT,confirmed,manual,iasp91,18,11,7,0.081580922,87.9677124,0.303975126,0
2019p819532,earthquake,2019-10-31T05:26:39.589Z,2019-10-31T05:34:21.571Z,176.3412628,-40.34981537,1.865058736,26.3053627,M,,LOCSAT,confirmed,manual,iasp91,22,13,6,0.055961106,67.36082458,0.370031806,0
2019p818878,earthquake,2019-10-30T23:38:30.530Z,2019-10-31T00:17:40.087Z,174.9475555,-40.14194489,2.110348236,12,M,operator assigned,LOCSAT,confirmed,manual,iasp91,24,17,5,0.387934238,134.7598181,0.557003928,0
2019p818767,earthquake,2019-10-30T22:39:21.950Z,2019-10-30T22:57:41.556Z,174.3023682,-41.53689575,1.676962503,12,M,operator assigned,LOCSAT,confirmed,manual,iasp91,17,13,4,0.290672839,147.8807678,0.210848604,0
